Date,Price,BE Wind,BE Solar,CH Price,DE Wind,DE Solar
2018-01-01 00:00:00,4.74,2253,0,31.08,31876.25,0.0
2018-01-01 01:00:00,3.66,2247,0,29.17,34320.0,0.0
2018-01-01 02:00:00,1.26,2220,0,21.96,35528.5,0.0
2018-01-01 03:00:00,-20.1,2174,0,14.96,36443.0,0.0
2018-01-01 04:00:00,-31.82,2123,0,-5.92,37090.0,0.0
2018-01-01 05:00:00,-28.66,2086,0,-6.1,37635.25,0.0
2018-01-01 06:00:00,-13.71,2052,0,-10.02,37854.25,0.0
2018-01-01 07:00:00,-19.33,2019,1,-5.71,37842.0,213.25
2018-01-01 08:00:00,-15.78,1999,35,-1.88,37700.0,1786.75
2018-01-01 09:00:00,-12.05,1962,115,-10.48,37551.0,3970.25
2018-01-01 10:00:00,-0.42,1886,183,-6.79,37268.75,5554.0
2018-01-01 11:00:00,2.3,1727,205,8.57,36342.25,6040.0
2018-01-01 12:00:00,2.3,1481,165,8.53,34355.75,5400.0
2018-01-01 13:00:00,13.76,1239,101,8.52,30887.5,3753.0
2018-01-01 14:00:00,15.43,1042,48,8.6,26778.25,1432.0
2018-01-01 15:00:00,25.46,887,7,16.98,23508.0,82.5
2018-01-01 16:00:00,32.7,945,0,37.43,21681.75,0.0
2018-01-01 17:00:00,32.7,1214,0,41.19,20543.0,0.0
2018-01-01 18:00:00,23.42,1412,0,44.61,19390.25,0.0
2018-01-01 19:00:00,20.34,1549,0,40.67,17990.75,0.0
2018-01-01 20:00:00,21.95,1697,0,39.42,16785.0,0.0
2018-01-01 21:00:00,23.52,1785,0,36.06,16091.5,0.0
2018-01-01 22:00:00,16.35,1797,0,32.98,16122.0,0.0
2018-01-01 23:00:00,13.02,1745,0,36.39,15016.25,0.0
2018-01-02 00:00:00,8.45,1789,0,36.54,14854.75,0.0
2018-01-02 01:00:00,5.09,1823,0,30.97,14839.75,0.0
2018-01-02 02:00:00,1.64,1828,0,19.98,14843.0,0.0
2018-01-02 03:00:00,1.41,1781,0,21.6,14865.25,0.0
2018-01-02 04:00:00,8.36,1667,0,38.4,15121.0,0.0
2018-01-02 05:00:00,22.58,1496,0,41.04,15522.0,0.0
2018-01-02 06:00:00,41.92,1285,0,44.92,15713.5,0.0
2018-01-02 07:00:00,47.95,1063,1,49.05,15564.75,109.0
2018-01-02 08:00:00,49.9,903,61,51.26,15311.25,885.25
2018-01-02 09:00:00,50.0,845,203,51.22,15373.75,2093.25
2018-01-02 10:00:00,49.7,835,295,49.04,16152.5,3037.25
2018-01-02 11:00:00,48.16,839,306,48.1,17041.75,3418.5
