,Price,Ampirion Load Forecast,PV+Wind Forecast
2012-01-09 00:00:00,34.97,16382.0,3569.5275
2012-01-09 01:00:00,33.43,15410.5,3315.275
2012-01-09 02:00:00,32.74,15595.0,3107.3075
2012-01-09 03:00:00,32.46,16521.0,2944.62
2012-01-09 04:00:00,32.5,17700.75,2897.15
2012-01-09 05:00:00,36.13,19348.75,2676.35
2012-01-09 06:00:00,43.02,23058.5,2533.8475
2012-01-09 07:00:00,59.03,25349.25,2555.8675000000003
2012-01-09 08:00:00,64.48,26336.75,2818.96925
2012-01-09 09:00:00,58.72,26321.0,3386.187
2012-01-09 10:00:00,56.48,26702.25,4070.4345
2012-01-09 11:00:00,56.04,27067.25,4973.325
2012-01-09 12:00:00,55.7,27118.25,5607.1035
2012-01-09 13:00:00,54.84,27294.0,5967.2392500000005
2012-01-09 14:00:00,52.32,26945.0,6140.01575
2012-01-09 15:00:00,50.72,26476.25,6277.727
2012-01-09 16:00:00,51.89,26262.75,6721.00125
2012-01-09 17:00:00,57.02,27124.75,7376.6875
2012-01-09 18:00:00,61.27,27223.75,8252.1
2012-01-09 19:00:00,53.2,26864.75,9022.2375
2012-01-09 20:00:00,47.31,25721.5,9766.6725
2012-01-09 21:00:00,42.0,24687.25,10524.715
2012-01-09 22:00:00,42.19,23773.25,11119.3775
2012-01-09 23:00:00,41.34,21544.0,11002.0875
2012-01-10 00:00:00,31.92,19653.5,12722.2675
2012-01-10 01:00:00,31.11,18728.75,12738.47
2012-01-10 02:00:00,30.71,18267.5,12384.14
2012-01-10 03:00:00,28.06,18869.5,11711.74
2012-01-10 04:00:00,30.5,19515.5,10956.2675
2012-01-10 05:00:00,33.82,20626.5,10149.725
2012-01-10 06:00:00,39.82,23725.25,9336.0975
2012-01-10 07:00:00,47.99,26307.5,8528.595
2012-01-10 08:00:00,52.96,27139.5,7846.125
2012-01-10 09:00:00,51.06,27179.5,7842.121
2012-01-10 10:00:00,51.06,27406.0,8048.59775
2012-01-10 11:00:00,53.0,27814.25,8264.66275
2012-01-10 12:00:00,52.21,27924.25,7961.83275
2012-01-10 13:00:00,52.96,27863.25,7150.184749999999
2012-01-10 14:00:00,51.99,27100.75,6092.46775
2012-01-10 15:00:00,51.94,26729.75,4880.81575
2012-01-10 16:00:00,54.96,26989.75,4061.8195
2012-01-10 17:00:00,61.18,27868.75,4030.8425
2012-01-10 18:00:00,61.18,27728.5,4361.9275
2012-01-10 19:00:00,56.79,27200.0,4693.6225
2012-01-10 20:00:00,48.0,26211.0,5015.31
2012-01-10 21:00:00,42.74,25286.5,5310.0075
2012-01-10 22:00:00,42.93,23835.75,5610.4825
2012-01-10 23:00:00,39.67,21477.25,5920.63
2012-01-11 00:00:00,40.09,19162.75,6311.4775
2012-01-11 01:00:00,35.92,18353.75,6763.98
2012-01-11 02:00:00,34.08,18304.25,7173.6375
2012-01-11 03:00:00,29.41,18664.75,7607.7075
2012-01-11 04:00:00,30.11,19372.75,8053.505
2012-01-11 05:00:00,36.11,20418.0,8393.0575
2012-01-11 06:00:00,44.0,23549.0,8683.0725
2012-01-11 07:00:00,52.0,26177.0,8894.97
2012-01-11 08:00:00,51.91,27151.5,9224.22975
2012-01-11 09:00:00,51.96,27245.0,10022.432
2012-01-11 10:00:00,51.43,27582.75,10867.30075
2012-01-11 11:00:00,51.99,27984.5,12180.015
2012-01-11 12:00:00,51.56,28054.5,12100.8365
2012-01-11 13:00:00,50.39,27900.25,11375.0065
2012-01-11 14:00:00,49.03,27226.75,10075.10975
2012-01-11 15:00:00,50.92,26898.5,8632.18375
2012-01-11 16:00:00,49.09,27007.5,7529.182
2012-01-11 17:00:00,60.2,27847.25,7031.1825
2012-01-11 18:00:00,70.99,27710.0,6702.48
2012-01-11 19:00:00,62.31,27064.25,6618.105
2012-01-11 20:00:00,56.18,26020.75,6836.2
2012-01-11 21:00:00,47.93,24954.0,7281.8925
2012-01-11 22:00:00,47.91,23477.75,7999.7425
2012-01-11 23:00:00,42.48,21096.5,9223.04
2012-01-12 00:00:00,40.42,18918.5,9981.87
2012-01-12 01:00:00,34.44,18156.5,11059.8175
2012-01-12 02:00:00,32.02,18128.0,12182.29
2012-01-12 03:00:00,28.89,18612.25,13342.8975
2012-01-12 04:00:00,29.21,19280.5,14357.3375
2012-01-12 05:00:00,32.02,20398.75,15481.8175
2012-01-12 06:00:00,45.21,23854.25,16617.3925
2012-01-12 07:00:00,52.79,24713.75,17686.9
