Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2020-01-01,37.86307782284376,37.03573621077729,35.198348733828965,31.74862605528611,31.464418083291264,27.37772793279262,31.524005863075708,29.96293346681922,33.7088157572305,37.96187594555962,36.12551297653698,35.53651308356921,34.12285488481082,33.69667276505669,33.29783198758717,37.36607008623078,43.69262123917626,48.95294744283937,48.62305202946646,41.841684721080256,37.717702509371065,35.178563882897585,32.94345311081556,32.343963595745855
2020-01-02,35.054178413208085,33.866756833601116,28.794951966351604,28.087686898833883,30.368775477975422,35.11328815907492,42.551920180996454,41.94046668068612,42.215719398091224,41.384028233872385,39.66175297304048,40.01192690845753,36.56959497144752,35.91438008872943,37.197423375658616,38.266533781372374,43.27341662755171,47.61819465273817,46.218303098283755,40.10276522914095,33.890891004368825,34.99870095939075,33.17232269950824,26.86403355651555
2020-01-03,29.46755799962873,27.139831916099833,23.922427590074264,21.332118024860343,27.589670401212068,32.43324287142964,36.65880825939746,36.44712670427828,39.845495865985896,39.869551247269676,37.41235349320019,38.0948962302101,35.56942011930869,34.76222889896855,36.9589047130401,38.059388407556035,45.153641636626794,51.50087806626451,49.44944009417096,42.789646025172964,39.32734273612348,39.78975805527964,36.88620288394476,33.96856378075573
2020-01-04,30.99866191833734,28.634899608499232,24.47310105592714,21.731740711749865,20.243889595805953,23.660200017432736,28.67012430774156,31.487085144133644,36.31284151285222,36.24808409355721,33.68003801356893,34.77250433593203,33.25357872127138,31.748299854111938,32.863046971648636,36.18816390819928,43.59181450761472,48.27407447972432,49.486154941676446,44.226615331860074,40.0289497484615,39.905542423657735,37.22160248470218,31.151703904776472
2020-01-05,32.49968842385581,30.981104246316175,29.108570324973243,27.268961453733823,28.63214054784975,25.944084986690243,28.347622961841637,32.807339955765045,36.37901694760187,40.71484153970392,40.27061741533381,38.42699257901602,36.791682877869206,36.930848548245336,37.626761533695024,39.77352611922656,47.67812315217206,51.046709267852044,47.66118671807861,43.377847181417145,34.944286547352704,36.58695557215931,35.31295534845232,33.294673069689615
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,
